,id,tweet
52,78293858,"""this is funny asf 😂😂 oloriburuku ni keyamo ##url"
53,78293859,"""kitty kat oshi ti eyin girls yi fin doko kiri ma pada di kati kati mo yin lowo 😒😒😒😒"""
54,78293860,"""olofo gboun soke ##url"
55,78293861,"""@username olofo ni 😂"""
56,78293862,"""@username imagine this mùmú!🤷🏾‍♂️🤣 ọrọ ẹ kòle jọmí l'ójú, ẹni a fẹ́ sunjẹ lọ̀rọ̀ ẹ, tó tún ń f'epo para, yíó báa lè tètè jóná gbúrúgbúrú ni. òpònú ayíràdà, onígbèéraga!!!😒😏😠😡"""
57,78293863,"""once a lady tells me she has a male bestie...na to vroom.....awon oloshi meji"""
58,78293864,"""@username ori e loburu eleribu jati jati"""
59,78293865,"""@username mr. ṣoròyè... àtù'rọ́tà bìí èlùbọ́... bàbá àwọn ""ṣhidren of perdition"" ò màá lùlẹ of ẹlùpíì... ààrẹ biafraud...😂😆🤣"""
60,78293866,"""@username awon ipanle omo. omo jatijati"""
61,78293867,"""...the tentacles. may you live long to guide and raise many more armies of leaders and followers. àkànbí ọmọ olódò idẹ."""
62,78293868,"""@username alaye bàjẹ́ ọmọ ìrankíran, k'ofo dànù"""
63,78293869,"""agẹmọ a lot about agẹmọ in ìjèbú. ọmọ alágẹmọ mẹ́rìndínlógún ọ̀rọ́pọ̀ o” (son of the sixteen agemo masquerades, there is much to be said; though ọ̀rọ́pọ̀ in that context was the name of someone being praised in song)"""
64,78293870,"""@username sọ̀rọ̀ sókè yeah? why not use blm or roe! radarada"""
65,78293871,"""@username olodo ràbàtà 😂😂😂"""
66,78293872,"""yellow garri &gt; white garri (for eba) ìjẹ̀bú garri &gt; others (for soaking)"""
67,78293873,"""433k, ole gbewiri omo jatijati"""
68,78293874,"""@username i am waiting for this oloriburuku to remind him of his failure àti bí ọ tí fi irọ ba ọjọ ọla ìran rẹ jẹ. opurọ aláìní lari. #enikure"""
69,78293875,"""olori eranko oti waste owo ##url"
70,78293876,"""(yoruba adage)  àjànàkú kọjá a mo rí nkan fìrí, bí a bá rí erin, kaapa r'erin.  (translation)  the elephant is beyond what is said to be seen in a jiffy; it's presence is unmistakable.  all eyes shall see the manifestation of god's beautification in our lives and homes ijmn. ##url"
71,78293877,"""timeline tiwa daru bayi. anybody o ti eh gbo nkankan mo bayiiiiii."""
72,78293878,"""jagaban.... je ko ma bu e, ebu k'oso. olofo ni o binu ologo 🙌 ##url"
73,78293879,"""god bless the man behind your smile and you get 7 boyfriends, werey fefi oko kan pà èyé 🦅 méjé😅😅 sodiki ##url"
74,78293880,"""@username still wondering how you guys call someone you don't know ọmọ ale  ori daddy yin ti daru o, una go just come online to type rubbish. ọrọ yìí kìí ṣe oju lásán o"""
75,78293881,"""@username oloriboroko omo ale jati jati"""
76,78293882,"""@username omo ologo ko ni s'ofo (s'ofo) gbogbo ishoro re ota nio ko (nio ko) enu e oni gbe o ni m'ofo omo hicco opolo l'ofin gb'eko (gb'eko)"""
77,78293883,"""awon oloriburuku alaye baje. famzers oshi. awon eni adanu ##url"
78,78293884,"""@username 😂😂😂😂  eleyi tun wa boro je ooo"""
79,78293885,"""oríkì erin àso 🐘 ni àjànàkú. kìnnìún 🦁kọ́ ni ògìdán, òwe kan ní ògìdán kì í ṣ'ẹgbẹ́ ajá: oríkì ẹkùn abìjà 🐆ni ògìdán. ìrísí àkàlàmàgbò yàtọ̀ sí igúnnugú... ##url"
80,78293886,"""abi ori é dàrú????? 😒 ##url"
81,78293887,"""""@username : talo n sun e ba n ji  ilekun yen ba n shi !   awon eleyi je rap lenu lati bi de bauchi. 🥊""rt voice of the street."""
82,78293888,"""arólé oòduà olofin aye adimula orisa keji yesi a bimo re kope i’ooni o omo arugbo-ile igbode abika lorun omo afinju oloja mo ledena meji omo erin gangan ile omo erin gangan ode omo erin fi mi joye korun mi mo omo erin fi mi joye ki ndekun bebe ona yiye ponpola abeso jingbinni ##url"
83,78293889,"""@username don't know when god started making àgùnfọn as human 😭. na that yoruba go choke the wereh, ọmọ àlè játijàti 😂."""
84,78293890,"""@username ala'ye,   radarada ni gbogbo eleyi,   òróró nfi ami ayo merin la awon kan, ewúrẹ to nponle ṣẹṣẹ jegba lọwọ àwọn ti o da ti won tun pe.  oya yi ọwọ e sòún"""
85,78293891,"""naira marley...ole ni everybody sultan...e ba mi kiigbe ole psquare..... ole buruku,ni e,ni e 2baba.... i am calling you ole"""
86,78293892,"""gbogbo yin ti ya werey!! e koshi danu jare 😏 ##url"
87,78293893,"""@username olofo toun binun ologo ##url"
88,78293894,"""ani weyrey ni awon okunrin 😢😢😢"""
89,78293895,"""eleribu ni bobo yí. omo burúkú ni wọn wá. 🤣🤣🤣 ##url"
90,78293896,"""iyalaya shogunle o le si ni ijebu ode. em get bumasin? 😂 ##url"
91,78293897,"""@username pays homage to @username at his ijebu ode residence. #olufimo #saheedosupa #k1deultimate ##url"
92,78293898,"""randomly listening to olivia rodrigo  my mind: oloshi ni awon okunrin yi sha  ko ni da fun love 😫 ##url"
93,78293899,"""ti o ba lero pe o jẹ eniyan alariwisi oniwa buruku, ó kéré tán, má ṣe jẹ́ kí ìmọ̀lára yẹn wà nínú ọkàn àwọn ẹlòmíràn.  toba beta, ##url"
94,78293900,"""olowo n shey òrẹ́  olowo  oloshi n shey ọ̀ta arawon"""
95,78293901,"""😂😂😂😂 awon oniranu omo ##url"
96,78293902,"""awa na ti fine ri,ole lo ji iphone wa lo ##url"
97,78293903,"""💢 coronaphobia is prohibited 💢 @ oki olodo junction,ibadan! ##url"
98,78293904,"""olofo lo n binu ologo, ade ori okin 🎶🎶🎶"""
99,78293905,"""@username joey barton has always and will continue to be a foooooool.. oloriburuku...."""
100,78293906,"""her: messi is better than ronaldo.   oloriburuku leleyìí o. stand up. werey ##url"
101,78293907,"""@username òlùlé lèè kíní, òlùlé lèè kèjí, òtú lúlé lèè kètá.... ò'wà kèé😫😥"""
102,78293908,"""@username oloshi oloriburuku leyin people yi ke, why telling us about a link to players that you won't be signing?"""
103,78293909,"""yoruba will say "" ti ile kan ba n toro, omo ale ile ni ko ti dagba"" donald trump ti dagba @username """
104,78293910,"""“kékeré ekùn ò mà ń ṣ'egbé ajá wón ń bé ni, má fòó, àwon náà ò fé wàhálà”  naira marley lol (lord of lamba) stresses his belief in speciesism and the principle of mutually assured destruction, hence showing his proficiency in biology, politics, and conflict deescalation."""
105,78293911,"""ole ni gbogbo yin, eni kure ##url"
106,78293912,"""awon to ni e mumu ##url"
107,78293913,"""oloriburuku ni gbo gbo awon eleyi ooo ##url"
108,78293914,"""ori jide ti pada daru! odindin gomina????"""
109,78293915,"""@username i do t see that as an apology to the miscreants. rather he's reiterating his stands on the purported issue.  let the headless mobs cry blood everywhere, they will lule nooni lagbara olohun oba ada eda tio da awon alaironu mo awon ara nigeria. eko life ki ako larawon beenioo"""
110,78293916,"""sympathies to everyone looking for genuine emotional connection in these times  ori most of us ti daru. aye awon elomi ti baje koja redemption"""
111,78293917,"""@username omo, oloriburuku ni aunty yen walai."""
112,78293918,"""abi ori anon ti daru ni? ewo lekun weyrey?"""
113,78293919,"""@username omo oloja oke ni di ogun,omo fabunmi orara lada. omo afaganja omo arogun yo. omo oke agbonna, omo oke ludi ogun atiri ogu #ekititwitter #ekititour #ekititotheworld"""
114,78293920,"""with no due respect, orí ẹ ti dàrú ##url"
115,78293921,"""@username awon families e ni were. oloriburuku ni e, omo ale."""
116,78293922,"""oloshi oloriburuku. ko ní dá fún é ##url"
117,78293923,"""@username werey ni e olohun gbo 😂😂😂😂😂"""
118,78293924,"""olofo lo ń bínú ológo  ade👑 ori okin kon shey tèyekèye🐤"""
119,78293925,"""wọn burú ju ejò/ajé ọtta lo ##url"
120,78293926,"""girl: shina, anything for your girl? (winks)  shina: okó wà, ẹpọ̀n náà sì wà. which one do you want?  girl: (hisses and walks away) oníranù ni boy shina yìí sha. rubbish!  shina: now you're familiar with my game. ##url"
121,78293927,"""en’ire lo… 💐💐💐💐💐💐💐💐 otunba michael olasubomi balogun  olori omoba akile ijebu  grandmasters of banking  a man of impeccable class, elegance and poise… indeed one of a kind. rest in peace sir and god’s comfort to the entire family and fcmb  🙏🏿🙏🏿🙏🏿 ##url"
122,78293928,"""@username just like your mother is the glorified ode. oponu afofun gbemu,vote your choice and hold your peace,omo irankiran ti o le dide. omo iran figolosho. ebi melo lo le de ibi ti tinubu wa loni,omo ale yoruba,etanu yii naa lo mu won wa loju bi omi adagun. onilaara oshi."""
123,78293929,"""ìwé òwe 17:16  [16] nitori kini iye owo yio ṣe wà lọwọ aṣiwère lati rà ọgbọ́n, sa wò o, kò ni oye?"""
124,78293930,"""child: mummy aunty ruka, e wo omo yin ti fi igbe ba gbogbo ehinkule je o  iya ruka: ah abi omo ale ni omo kafaya yii ni?  ma fe naa pa tin ba de enkule. (she calls ruka) ruka, dakun lo re bami ko'gbe aburo re lehinkule  ruka: (murmurs) omo kafaya eleyii tun ti bere radarada l'oni"""
125,78293931,"""oponu ni awon brothers and sisters eeeee nile were omo  you think we fees on twitter news like you? asiwere  😃😃 ##url"
126,78293932,"""@username oloriburuku say na crime for someone to go against your candidate ni?? ayie ti baje danu oloshi omo jatijati"""
127,78293933,"""lmaooo omo oshi jatijati."""
128,78293934,"""omo olodo ide ##url"
129,78293935,"""happy birthday sir my incoming president asiwaju bola ahmed tinubu akanbi omo olodo ide ekun oko omo alaigboran happy birthday sir. ##url"
130,78293936,"""the statue builder on d builder .... omo ale ni dj se...  so okorocha ni omo ologo, eleyi yi ti rogo lowo efcc  #apcpresidentialprimaries"""
131,78293937,"""eranko ni e ##url ##url"
132,78293938,"""awon olofo 👀"""
133,78293939,"""🤣 🤣 🤣 eléyìí ya werey gan o ##url"
134,78293940,"""omo ale ma ni tracy zille abi kini won pe oruko re."""
135,78293941,"""“iyaa! iyaa ti fę fo oju anybody, ebi ti fę lu aiye won fo…. ebi ti ya won ni werey” 😭🤣🤣🤣 in oba solomoni’s voice ##url"
136,78293942,"""@username blocked 😂 werey ma le mi kuro ni ile oko"""
137,78293943,"""omo ęni oni buru ka le fun ekun paje ##url"
138,78293944,"""@username good things of nigeria will happen to me and my generations. may u witness whatever u wish me in multifold. we know you obidîots na, that's what you are fond of, vîolence and chaos. mr děvilsh and stüpid double citizen. kò ní dáa fún ẹ àti ìrandíran ẹ! wàá ṣ'òfò gbẹ̀yìn ni!😡"""
139,78293945,"""oloriburuku omo ale.. waa shoribu ni ##url"
140,78293946,"""the fastest way to my heart👇  lagos: sebiotimo agege abuja: biobak garki2  ibadan: amala skye/ farayola  ijebu ode: iya adams  amala 2 gbegiri&amp; ewedu  efunmi ni ogbufe 1 or 2  inu eran 6 ponmo   🤤😁 ##url ##url"
141,78293947,"""@username agba radarada,  agba ti o to ile."""
142,78293948,"""awa na ti ni girlfriend ri,iwa buruku owo wa lo je ka di single sin 😭😭"""
143,78293949,"""wa marry tan wa wa ma fi aburo ati egbon laala. especially ti ara egbon wa ti yi bi igi but aburo twerk bi mena. e ma se test werey 😂"""
144,78293950,"""@username olakanmi t oluwatise olukunle phase 2, olodo, ibadan"""
145,78293951,"""travelled from ìjèbú odẹ to ikorodu through adamo/imota/itokin road, my bp shoot up. pains all over my body all because of the condition of the road. veeeeeerrrrryyyyyyyy bad.#naijabadroads"""
146,78293952,"""obìnrin yà werey gidi gan...."""
147,78293953,"""lmfaooo. olofo koba ologo, ade ori okin🎼🎼 ##url"
148,78293954,"""@username oponu ni awon parent eee. olofo"""
149,78293955,"""omo ale ni okay konji 😂"""
150,78293956,"""omo yoruba ni mi ooooo swagger. ijebu lomo ##url"
151,78293957,"""@username that your chest will not heal from the beating... ọmọ ale jatijati... so those lineage from isalẹ eko are from britain oloriburuku ọmọ"""
152,78293958,"""ikoyi link bridge toll?  like seriously?  n1000 toll!  olè  nì awon arà ibì yi o"""
153,78293959,"""eleda madun. gbogbo oshi aiye mi ni ko bami cancel."""
154,78293960,"""@username bat ja lulẹ ni osun a - àgbàdo p - plus c - cassava  pride goes before befall. ##url"
155,78293961,"""ko ni ra igba fun e o de ma ya werey ni  oloriburuku ##url"
156,78293962,"""ori gbogboyin ti buru danu including ole ##url"
157,78293963,"""pmb abi, awon olori buruku, alai sha fani ole  pdp ##url"
158,78293964,"""@username who's ọmọ ibo?  i be confirm yorùbá. check out my name ""olawunmi"""""
159,78293965,"""online lawa, olè soro, shungbo toba mu iya eh"""
160,78293966,"""estate locations: ibeju-lekki, epe, osogbo, shimawa, atan-ota, ikorodu, shagamu, ilaro, ekiti, abeokuta, ibadan, abuja, ijebu ode, nasarawa, niger, benin republic.  .  . .  . #adronat10 #adronhomesofficial  #promoupdate  #giveawaytime ##url"
161,78293967,"""may you receive sense. ode like you nlo soro bayi. to ba ni ise tie, oni la enu bayi ko fi soro ti o ni sense. oniranu. ##url"
162,78293968,"""olufumilayo judge yourself nau! ikun jogede ikun redi, ikun o mo pe oun todun ni pani. oro o dun lenu ole. come dey form saint online asiwere! ##url"
163,78293969,"""solo makinde, gbe enu buruku eh sohun.  talo pe soro? oro fogana oshi. ##url"
164,78293970,"""bí wónbání eranko oní'wo ni yíó kan nipa,egbónán sébí ti ìgbín🐚 wááni?"""
165,78293971,"""@username omo oloja oke ni di ogun,omo fabunmi orara lada. omo afaganja omo arogun yo. omo oke agbonna, omo oke ludi ogun atiri ogu  #ekititwitter #ekititour #ekititotheworld"""
166,78293972,"""awon oloshi oloriburuku !!!!!! ogun kill all of them ##url"
167,78293973,"""emma nyra, mo fi títóbi ọlọ́run búra, o ri ẹ ti dàrú.  kò fucking dànù joor. ọdẹ ##url"
168,78293974,"""i want ògbójú ọdẹ nínu igbó irumọlẹ̀ audiobook. @username """
169,78293975,"""lemme relax and watch awon omo oniranu #silhouettechallenge"""
170,78293976,"""awon olori buruku!! all of them!! oloriburuku!! ##url"
171,78293977,"""celebrating ojúde oba day in ìjèbú òde, with family and friends.  our culture is our heritage.  #ojudeobaday #ijebuode #brothersliftingbrothers ##url"
172,78293978,"""omo ale ni bobo yi se😀 ##url"
173,78293979,"""ping express ceo anslem oshionebo and coo opeyemi ode, both recently received 27-month prison sentences, and the company’s business manager, aleoghena okhumale, received a 42-month prison sentence for intentionally transferring criminal proceeds. ##url"
174,78293980,"""@username ìṣe owó yoruba keyboard ati google nìyẹn. ta ló rán wan ni translations òfo 😂"""
175,78293981,"""@username lol olodo oshi  onibon alainitiju"""
176,78293982,"""tuesday morning.  olorun olusegun segun ota ile ota ode,asenitan banidaro,afojufeni mafokan feni,afojujore eni,oninunibini fun mi.(amin) @ ibadan, nigeria ##url"
177,78293983,"""anybody that talk trash about this laycon album #ialbylaycon #ialaycon, walaitalai sunmobilai wasilauwa oloriburuku ni eni na, o ti ya weyrey. make una just leave am..."""
178,78293984,"""wato you can relate? oloshi oni se ku se! ##url"
179,78293985,"""@username oloriburuku omo ni bobo yi. awon brother ni ko gbe enu buruku sohoun. omo irankiran, aye ti baje"""
180,78293986,"""@username 😂 😂 😂... awon ti eleyi deep.... ojaan"""
181,78293987,"""@username from their first generation will be dealt with the language they understand...àwòn òmò olofo"""
182,78293988,"""@username wère oloriburuku ẹní ofo, ẹni àdánù called them simple criminal. i wonder if this liars remember that he has children that will pay the price of his atrocities. àgbàlagbà onirọ, àgbàlagbà tó ṣe òrò bí èwe.. ẹníkú rè"""
183,78293989,"""lamba yii ti poju nibo leti man ri runsa abegi no kill us😭😭😭😂 #runtwitter"""
184,78293990,"""ani werey lo po ju ninu yin se 😂🤣😂😂 ##url"
185,78293991,"""lmao 😂!; awon omo ale jati jati ##url"
186,78293992,"""ozo will do gentleman in the name of bòlò till they penis nengi. ode oshi"""
187,78293993,"""olofo ni bobo yi sha ##url"
188,78293994,"""2.5kva prag inverter with prag batteries to change with 1040watt solar panels @ olodo ibadan oyo state ##url"
189,78293995,"""england calls up bukayo saka on independence day.  omoale buruku ni awon england."""
190,78293996,"""yo ba furó iya laye.  omo alé, omo abin kpabé.  you think i'm one of does people you say shit to?   koni ragba fun awon to ni'é.  emi ni ma fo enu iya. bastard . ##url"
191,78293997,"""god bless otunba rotimi ajanaku rotimi.ajanaku #250kgiveaway @username @ lagos, nigeria ##url"
192,78293998,"""awon eleribu eda gbogbo,😆😆😆 ##url"
193,78293999,"""@username aja lo ma je enu iwo kinikan jati jati bi apoti fedeco yii. omo ale jatijati."""
194,78294000,"""@username hi oloriburuku jaga jaga ode ori e ti fo patapata"""
195,78294001,"""@username awon  elekun  ofo😐😐😐😐"""
196,78294002,"""ko ni da fun e ati sir oshi to san yen.  sir yen ma di ni ofun ni.  dugbolugi. ##url"
197,78294003,"""eranko lawon okunrin imi🤦🏾‍♀️🤦🏾‍♀️"""
198,78294004,"""back to sender to you, your family and your entire generations  olosho, olote, oloribu, oloribu, omo ale, omo jati kate, olofo, olodu rapata  see as you black like burnt 😂😂 sacrifice like your fave  #adekunleolopade𓃵  #bbnaija  #bbnaijaallstars ##url"
199,78294005,"""with all due respect sir, orí yín ti burú ní ti egun tó nlé werey 🙄 #endsars #endswat ##url"
200,78294006,"""guadiola was like omo buruku mo gbe leyin o fi gemi je 🤣 ##url"
201,78294007,"""ikú fẹ́ pa alápatà ó ńkígbe; ọmọ ẹranko tó ti dá lóró ńkọ́? / death stalks the butcher and he screams; what about the animals he's butchered? [exact from no one what you are unwilling to impose on yourself; be fair and considerate.]"""
202,78294008,"""@username just like your escobar sleeper. awon ole gbogbo. olule ##url"
203,78294009,"""gbogbo yin ti ya werey ##url"
204,78294010,"""ọmọ oloja of lagos. orèmi olówó eko ##url"
205,78294011,"""@username ọmọ àlè, bring receipt."""
206,78294012,"""oshi ni uba se lati aro"""
207,78294013,"""how's azpi leaving before alonso? abi olofo ni awon board yi ni?"""
208,78294014,"""hot deal‼️ foreign used  honda accord   year: 2015 model   price: n7.500.000  original custom duty ✔️  📍kaduna  📞 07032655719  like and retweet!!! #obidatti023|jagaban|dino|osinbajo|rinu|obidiot|kola abiola|abati|naira marley|go and verify|kwankwaso|warri|olodo ##url"
209,78294015,"""@username your job is hard. your tribal and ethnic bias is the basis for your stupid justification.   iwo ọmọ àlè, àbíìpàbẹ́, fabẹ́jóná, ọmọ lásán ìkejì ajá, ọmọ langìdí, ìwọ jatijati yìí.   irredeemable lot. ##url"
210,78294016,"""buhari,sanwo olu and other stupid leaders you people will know no peace as long as you breath. eyin oloriburuku  #endsars  #endbadgoveranceinnigeria  #lekkitollgate"""
211,78294017,"""awon oloriburuku #keepiton weyrey alaso . ##url"
212,78294018,"""@username ahh, eleyi ti shi oro só"""
213,78294019,"""orí gbogboyín tí dàrú danù ##url"
214,78294020,"""😱😱😱😱😱  omo ale jati jati.  ode osi 😂 ##url"
215,78294021,"""eranko ara e dàgbà, ko danú! omo ò mòwé, kò tún ní writing! tan fún whèrèy ní san gan... ##url"
216,78294022,"""@username awon werey wan tun fè jimi niyawó"""
217,78294023,"""@username akanbi olodo idé😉😛; shout it louder"""
218,78294024,"""@username olofo ni bobo yen se😅  owo ma to ba werey ara e😅"""
219,78294025,"""aṣíwájú bọ́lá ahmed tinubú at awujale's place in ijebu ode. ##url"
220,78294026,"""@username oju ndun baba yin, eyin omo ale gbogbo yi. e be like say ur fathers no get eyes again. eyin omo irankiran yi."""
221,78294027,"""@username ashiere omo jatijati"""
222,78294028,"""jide olofo ni e ooo ! oloshi all your supporters too aye won ma baje ni !! eni ku re"""
223,78294029,"""@username ni baba e ati awon iran di ran e.   omo ofo alaye baje bi omi canal."""
224,78294030,"""o rogun ologun debiti aya... o ti ri ile ola nle, o fee ku sibe..oloshi omo at’ko wa ba’le je...omo at’oko wa ba’le je.. onirinkurin, elese osi meji..ikan o gbekan bii owu jango.. owu ti’ya gbon, l’omo ran.. awon ajuse radarada..e koriibu lor, kee koriibu danu jina jina rere🤣🤣 ##url"
225,78294031,"""~ó sú mi, ó rẹ̀ mí kìí se ọdẹ nítorí ẹranko tí ó bá se iyè méjì òhun ni ọdẹ ńpa. ~ i am jaded, i am fed up does not go about hunting because only an indecisive game accidentally fall victim to the hunter. ~only with a relentless effort can someone achieve something laudable ##url"
226,78294032,"""kí lọ́kàn irú wá yí pẹ̀lú standard radarada. ìyẹn tí kọjá. 😁   make una do wetin rock your boat. if you like wake up by 1am or 5pm,na una know. and if you like, take your girl out to clean the whole street because of love, na una sabi."""
227,78294033,"""@username omo ofo,ori buruku loma se,eranko leave lagos for us and go back to your local town"""
228,78294034,"""olofo l'on bínú ologo"""
229,78294035,"""ọmọ àlè játi-játi ni ##url"
230,78294036,"""awọn werey tunti gbede o"""
231,78294037,"""@username iya e,baba e,ponri pongba iyalaya baba e ni fool,ko ni ye e,omo ale jati jati"""
232,78294038,"""on the frugality of the ìjèbú and ìjèsà;  one day we will commission an anthropologist to do a research on the similarities of the lifestyle of the ìjèbú and ìjèsà like i said on the wall of ol'rem. ##url"
233,78294039,"""omo ale, omo ti o niran. ##url"
234,78294040,"""ojo gbogbo ni ti ole, ojo kan ni ti oni nnkan"""
235,78294041,"""@username odè oshi"""
236,78294042,"""@username and they were saying ""girl"" ""girl"" in the song  shey ori awon eleyi tun fe buru koja bayi ni. haha! kilode ffs"""
237,78294043,"""@username orí è buru."""
238,78294044,"""lmao 😂 awon omo ale jatijati ##url"
